pmax_AM,pmax_LM,sum_negll
0.04,0.9,82.8931
0.04,0.91,82.8931
0.04,0.92,82.8931
0.04,0.93,82.8931
0.04,0.94,82.8931
0.04,0.95,82.8931
0.04,0.96,82.8931
0.04,0.97,82.8931
0.04,0.98,82.8931
0.04,0.99,82.8931
0.05,0,83.096
0.05,0.01,83.4555
0.05,0.02,85.555
0.05,0.03,86.8533
0.05,0.04,84.626
0.05,0.05,82.8975
0.05,0.06,77.4784
0.05,0.07,59.9801
0.05,0.08,51.5763
0.05,0.09,51.6962
0.05,0.1,49.7282
0.05,0.11,50.3009
0.05,0.12,55.0294
0.05,0.13,60.6201
0.05,0.14,67.9486
0.05,0.15,67.9486
0.05,0.16,77.5132
0.05,0.17,63.7431
0.05,0.18,81.03
0.05,0.19,67.9486
0.05,0.2,65.952
0.05,0.21,82.8931
0.05,0.22,82.8931
0.05,0.23,82.8931
0.05,0.24,82.8931
0.05,0.25,82.8931
0.05,0.26,82.8931
0.05,0.27,82.8931
0.05,0.28,82.8931
0.05,0.29,82.8931
0.05,0.3,82.8931
0.05,0.31,82.8931
0.05,0.32,82.8931
0.05,0.33,82.8931
0.05,0.34,82.8931
0.05,0.35,82.8931
0.05,0.36,82.8931
0.05,0.37,82.8931
0.05,0.38,82.8931
0.05,0.39,82.8931
0.05,0.4,82.8931
0.05,0.41,82.8931
0.05,0.42,82.8931
0.05,0.43,82.8931
0.05,0.44,82.8931
0.05,0.45,82.8931
0.05,0.46,82.8931
0.05,0.47,82.8931
0.05,0.48,82.8931
0.05,0.49,82.8931
0.05,0.5,82.8931
0.05,0.51,82.8931
0.05,0.52,82.8931
0.05,0.53,82.8931
0.05,0.54,82.8931
0.05,0.55,82.8931
0.05,0.56,82.8931
0.05,0.57,82.8931
0.05,0.58,82.8931
0.05,0.59,82.8931
0.05,0.6,82.8931
0.05,0.61,82.8931
0.05,0.62,82.8931
0.05,0.63,82.8931
0.05,0.64,82.8931
0.05,0.65,82.8931
0.05,0.66,82.8931
0.05,0.67,82.8931
0.05,0.68,82.8931
0.05,0.69,82.8931
0.05,0.7,82.8931
0.05,0.71,82.8931
0.05,0.72,82.8931
0.05,0.73,82.8931
0.05,0.74,82.8931
0.05,0.75,82.8931
0.05,0.76,82.8931
0.05,0.77,82.8931
0.05,0.78,82.8931
0.05,0.79,82.8931
0.05,0.8,82.8931
0.05,0.81,82.8931
0.05,0.82,82.8931
0.05,0.83,82.8931
0.05,0.84,82.8931
0.05,0.85,82.8931
0.05,0.86,82.8931
0.05,0.87,82.8931
0.05,0.88,82.8931
0.05,0.89,82.8931
0.05,0.9,82.8931
0.05,0.91,82.8931
0.05,0.92,82.8931
0.05,0.93,82.8931
0.05,0.94,82.8931
0.05,0.95,82.8931
0.05,0.96,82.8931
0.05,0.97,82.8931
0.05,0.98,82.8931
0.05,0.99,82.8931
0.06,0,83.2226
0.06,0.01,82.994
0.06,0.02,85.1045
0.06,0.03,81.8037
0.06,0.04,82.6073
0.06,0.05,81.505
0.06,0.06,81.8937
0.06,0.07,74.9698
0.06,0.08,60.9953
0.06,0.09,53.073
0.06,0.1,52.6652
0.06,0.11,50.8741
0.06,0.12,56.5868
0.06,0.13,56.5868
0.06,0.14,64.5956
0.06,0.15,67.9486
0.06,0.16,67.9486
0.06,0.17,67.9486
0.06,0.18,67.9486
0.06,0.19,67.9486
0.06,0.2,82.8931
0.06,0.21,82.8931
0.06,0.22,82.8931
0.06,0.23,82.8931
0.06,0.24,82.8931
0.06,0.25,82.8931
0.06,0.26,82.8931
0.06,0.27,82.8931
0.06,0.28,82.8931
0.06,0.29,82.8931
0.06,0.3,82.8931
0.06,0.31,82.8931
0.06,0.32,82.8931
0.06,0.33,82.8931
0.06,0.34,82.8931
0.06,0.35,82.8931
0.06,0.36,82.8931
0.06,0.37,82.8931
0.06,0.38,82.8931
0.06,0.39,82.8931
0.06,0.4,82.8931
0.06,0.41,82.8931
0.06,0.42,82.8931
0.06,0.43,82.8931
0.06,0.44,82.8931
0.06,0.45,82.8931
0.06,0.46,82.8931
0.06,0.47,82.8931
0.06,0.48,82.8931
0.06,0.49,82.8931
0.06,0.5,82.8931
0.06,0.51,82.8931
0.06,0.52,82.8931
0.06,0.53,82.8931
0.06,0.54,82.8931
0.06,0.55,82.8931
0.06,0.56,82.8931
0.06,0.57,82.8931
0.06,0.58,82.8931
0.06,0.59,82.8931
0.06,0.6,82.8931
0.06,0.61,82.8931
0.06,0.62,82.8931
0.06,0.63,82.8931
0.06,0.64,82.8931
0.06,0.65,82.8931
0.06,0.66,82.8931
0.06,0.67,82.8931
0.06,0.68,82.8931
0.06,0.69,82.8931
0.06,0.7,82.8931
0.06,0.71,82.8931
0.06,0.72,82.8931
0.06,0.73,82.8931
0.06,0.74,82.8931
0.06,0.75,82.8931
0.06,0.76,82.8931
0.06,0.77,82.8931
0.06,0.78,82.8931
0.06,0.79,82.8931
0.06,0.8,82.8931
0.06,0.81,82.8931
0.06,0.82,82.8931
0.06,0.83,82.8931
0.06,0.84,82.8931
0.06,0.85,82.8931
0.06,0.86,82.8931
0.06,0.87,82.8931
0.06,0.88,82.8931
0.06,0.89,82.8931
0.06,0.9,82.8931
0.06,0.91,82.8931
0.06,0.92,82.8931
0.06,0.93,82.8931
0.06,0.94,82.8931
0.06,0.95,82.8931
0.06,0.96,82.8931
0.06,0.97,82.8931
0.06,0.98,82.8931
0.06,0.99,82.8931
0.07,0,82.8931
0.07,0.01,82.994
0.07,0.02,84.5932
0.07,0.03,86.9075
0.07,0.04,83.6344
0.07,0.05,82.4001
0.07,0.06,79.0686
0.07,0.07,77.2481
0.07,0.08,66.1859
0.07,0.09,54.3742
0.07,0.1,52.4986
0.07,0.11,52.84
0.07,0.12,59.476
0.07,0.13,60.6201
0.07,0.14,60.6201
0.07,0.15,80.8965
0.07,0.16,82.8931
0.07,0.17,82.8931
0.07,0.18,82.8931
0.07,0.19,82.8931
0.07,0.2,82.8931
0.07,0.21,82.8931
0.07,0.22,82.8931
0.07,0.23,82.8931
0.07,0.24,82.8931
0.07,0.25,82.8931
0.07,0.26,82.8931
0.07,0.27,82.8931
0.07,0.28,82.8931
0.07,0.29,82.8931
0.07,0.3,82.8931
0.07,0.31,82.8931
0.07,0.32,82.8931
0.07,0.33,82.8931
0.07,0.34,82.8931
0.07,0.35,82.8931
0.07,0.36,82.8931
0.07,0.37,82.8931
0.07,0.38,82.8931
0.07,0.39,82.8931
0.07,0.4,82.8931
0.07,0.41,82.8931
0.07,0.42,82.8931
0.07,0.43,82.8931
0.07,0.44,82.8931
0.07,0.45,82.8931
0.07,0.46,82.8931
0.07,0.47,82.8931
0.07,0.48,82.8931
0.07,0.49,82.8931
0.07,0.5,82.8931
0.07,0.51,82.8931
0.07,0.52,82.8931
0.07,0.53,82.8931
0.07,0.54,82.8931
0.07,0.55,82.8931
0.07,0.56,82.8931
0.07,0.57,82.8931
0.07,0.58,82.8931
0.07,0.59,82.8931
0.07,0.6,82.8931
0.07,0.61,82.8931
0.07,0.62,82.8931
0.07,0.63,82.8931
0.07,0.64,82.8931
0.07,0.65,82.8931
0.07,0.66,82.8931
0.07,0.67,82.8931
0.07,0.68,82.8931
0.07,0.69,82.8931
0.07,0.7,82.8931
0.07,0.71,82.8931
0.07,0.72,82.8931
0.07,0.73,82.8931
0.07,0.74,82.8931
0.07,0.75,82.8931
0.07,0.76,82.8931
0.07,0.77,82.8931
0.07,0.78,82.8931
0.07,0.79,82.8931
0.07,0.8,82.8931
0.07,0.81,82.8931
0.07,0.82,82.8931
0.07,0.83,82.8931
0.07,0.84,82.8931
0.07,0.85,82.8931
0.07,0.86,82.8931
0.07,0.87,82.8931
0.07,0.88,82.8931
0.07,0.89,82.8931
0.07,0.9,82.8931
0.07,0.91,82.8931
0.07,0.92,82.8931
0.07,0.93,82.8931
0.07,0.94,82.8931
0.07,0.95,82.8931
0.07,0.96,82.8931
0.07,0.97,82.8931
0.07,0.98,82.8931
0.07,0.99,82.8931
0.08,0,83.1206
0.08,0.01,83.2226
0.08,0.02,83.9351
0.08,0.03,85.7395
0.08,0.04,83.3666
0.08,0.05,81.9363
0.08,0.06,83.8293
0.08,0.07,64.8611
0.08,0.08,54.6154
0.08,0.09,55.0102
0.08,0.1,57.4332
0.08,0.11,57.4332
0.08,0.12,62.6167
0.08,0.13,64.4721
0.08,0.14,60.6201
0.08,0.15,64.854
0.08,0.16,82.8931
0.08,0.17,82.8931
0.08,0.18,82.8931
0.08,0.19,82.8931
0.08,0.2,82.8931
0.08,0.21,82.8931
0.08,0.22,82.8931
0.08,0.23,82.8931
0.08,0.24,82.8931
0.08,0.25,82.8931
0.08,0.26,82.8931
0.08,0.27,82.8931
0.08,0.28,82.8931
0.08,0.29,82.8931
0.08,0.3,82.8931
0.08,0.31,82.8931
0.08,0.32,82.8931
0.08,0.33,82.8931
0.08,0.34,82.8931
0.08,0.35,82.8931
0.08,0.36,82.8931
0.08,0.37,82.8931
0.08,0.38,82.8931
0.08,0.39,82.8931
0.08,0.4,82.8931
0.08,0.41,82.8931
0.08,0.42,82.8931
0.08,0.43,82.8931
0.08,0.44,82.8931
0.08,0.45,82.8931
0.08,0.46,82.8931
0.08,0.47,82.8931
0.08,0.48,82.8931
0.08,0.49,82.8931
0.08,0.5,82.8931
0.08,0.51,82.8931
0.08,0.52,82.8931
0.08,0.53,82.8931
0.08,0.54,82.8931
0.08,0.55,82.8931
0.08,0.56,82.8931
0.08,0.57,82.8931
0.08,0.58,82.8931
0.08,0.59,82.8931
0.08,0.6,82.8931
0.08,0.61,82.8931
0.08,0.62,82.8931
0.08,0.63,82.8931
0.08,0.64,82.8931
0.08,0.65,82.8931
0.08,0.66,82.8931
0.08,0.67,82.8931
0.08,0.68,82.8931
0.08,0.69,82.8931
0.08,0.7,82.8931
0.08,0.71,82.8931
0.08,0.72,82.8931
0.08,0.73,82.8931
0.08,0.74,82.8931
0.08,0.75,82.8931
0.08,0.76,82.8931
0.08,0.77,82.8931
0.08,0.78,82.8931
0.08,0.79,82.8931
0.08,0.8,82.8931
0.08,0.81,82.8931
0.08,0.82,82.8931
0.08,0.83,82.8931
0.08,0.84,82.8931
0.08,0.85,82.8931
0.08,0.86,82.8931
0.08,0.87,82.8931
0.08,0.88,82.8931
0.08,0.89,82.8931
0.08,0.9,82.8931
0.08,0.91,82.8931
0.08,0.92,82.8931
0.08,0.93,82.8931
0.08,0.94,82.8931
0.08,0.95,82.8931
0.08,0.96,82.8931
0.08,0.97,82.8931
0.08,0.98,82.8931
0.08,0.99,82.8931
0.09,0,82.8931
0.09,0.01,83.4555
0.09,0.02,85.7753
0.09,0.03,84.5724
0.09,0.04,83.3384
0.09,0.05,81.8959
0.09,0.06,82.4274
0.09,0.07,80.7418
0.09,0.08,59.0858
0.09,0.09,55.4963
0.09,0.1,50.3555
0.09,0.11,52.4548
0.09,0.12,55.8218
0.09,0.13,65.952
0.09,0.14,82.8931
0.09,0.15,78.6592
0.09,0.16,62.6167
0.09,0.17,62.6167
0.09,0.18,82.8931
0.09,0.19,82.8931
0.09,0.2,82.8931
0.09,0.21,82.8931
0.09,0.22,82.8931
0.09,0.23,82.8931
0.09,0.24,82.8931
0.09,0.25,82.8931
0.09,0.26,82.8931
0.09,0.27,82.8931
0.09,0.28,82.8931
0.09,0.29,82.8931
0.09,0.3,82.8931
0.09,0.31,82.8931
0.09,0.32,82.8931
0.09,0.33,82.8931
0.09,0.34,82.8931
0.09,0.35,82.8931
0.09,0.36,82.8931
0.09,0.37,82.8931
0.09,0.38,82.8931
0.09,0.39,82.8931
0.09,0.4,82.8931
0.09,0.41,82.8931
0.09,0.42,82.8931
0.09,0.43,82.8931
0.09,0.44,82.8931
0.09,0.45,82.8931
0.09,0.46,82.8931
0.09,0.47,82.8931
0.09,0.48,82.8931
0.09,0.49,82.8931
0.09,0.5,82.8931
0.09,0.51,82.8931
0.09,0.52,82.8931
0.09,0.53,82.8931
0.09,0.54,82.8931
0.09,0.55,82.8931
0.09,0.56,82.8931
0.09,0.57,82.8931
0.09,0.58,82.8931
0.09,0.59,82.8931
0.09,0.6,82.8931
0.09,0.61,82.8931
0.09,0.62,82.8931
0.09,0.63,82.8931
0.09,0.64,82.8931
0.09,0.65,82.8931
0.09,0.66,82.8931
0.09,0.67,82.8931
0.09,0.68,82.8931
0.09,0.69,82.8931
0.09,0.7,82.8931
0.09,0.71,82.8931
0.09,0.72,82.8931
0.09,0.73,82.8931
0.09,0.74,82.8931
0.09,0.75,82.8931
0.09,0.76,82.8931
0.09,0.77,82.8931
0.09,0.78,82.8931
0.09,0.79,82.8931
0.09,0.8,82.8931
0.09,0.81,82.8931
0.09,0.82,82.8931
0.09,0.83,82.8931
