pmax_AM,pmax_LM,sum_negll
0.05,0.35,228.047
0.05,0.36,229.953
0.05,0.37,228.415
0.05,0.38,229.166
0.05,0.39,228.109
0.05,0.4,229.596
0.05,0.41,228.486
0.05,0.42,229.912
0.05,0.43,230.108
0.05,0.44,230.423
0.05,0.45,228.775
0.05,0.46,230.816
0.05,0.47,228.827
0.05,0.48,228.985
0.05,0.49,228.832
0.05,0.5,228.486
0.05,0.51,228.425
0.05,0.52,229.137
0.05,0.53,230.429
0.05,0.54,230.925
0.05,0.55,229.494
0.05,0.56,230.189
0.05,0.57,229.88
0.05,0.58,227.966
0.05,0.59,230.072
0.05,0.6,230.568
0.05,0.61,228.901
0.05,0.62,229.345
0.05,0.63,228.858
0.05,0.64,230.568
0.05,0.65,228.858
0.05,0.66,227.966
0.05,0.67,228.115
0.05,0.68,228.838
0.05,0.69,230.233
0.05,0.7,229.141
0.05,0.71,229.505
0.05,0.72,229.141
0.05,0.73,230.043
0.05,0.74,230.471
0.05,0.75,230.973
0.05,0.76,230.773
0.05,0.77,229.192
0.05,0.78,229.329
0.05,0.79,229.799
0.05,0.8,229.475
0.05,0.81,227.966
0.05,0.82,228.683
0.05,0.83,228.711
0.05,0.84,228.666
0.05,0.85,230.719
0.05,0.86,228.985
0.05,0.87,228.728
0.05,0.88,229.057
0.05,0.89,229.283
0.05,0.9,229.309
0.05,0.91,227.966
0.05,0.92,228.996
0.05,0.93,230.121
0.05,0.94,229.12
0.05,0.95,227.966
0.05,0.96,229.727
0.05,0.97,230.537
0.05,0.98,228.255
0.05,0.99,229.639
0.06,0,254.833
0.06,0.01,253.658
0.06,0.02,255.726
0.06,0.03,263.847
0.06,0.04,268.733
0.06,0.05,280.318
0.06,0.06,289.56
0.06,0.07,280.101
0.06,0.08,251.304
0.06,0.09,234.803
0.06,0.1,214.475
0.06,0.11,210.89
0.06,0.12,214.529
0.06,0.13,208.125
0.06,0.14,204.828
0.06,0.15,201.951
0.06,0.16,231.446
0.06,0.17,229.017
0.06,0.18,228.704
0.06,0.19,229.505
0.06,0.2,228.265
0.06,0.21,230.011
0.06,0.22,229.953
0.06,0.23,230.327
0.06,0.24,230.31
0.06,0.25,228.233
0.06,0.26,229.901
0.06,0.27,228.827
0.06,0.28,229.888
0.06,0.29,229.799
0.06,0.3,228.852
0.06,0.31,229.271
0.06,0.32,228.592
0.06,0.33,229.589
0.06,0.34,228.985
0.06,0.35,228.398
0.06,0.36,228.276
0.06,0.37,228.693
0.06,0.38,228.559
0.06,0.39,230.276
0.06,0.4,228.548
0.06,0.41,228.43
0.06,0.42,228.858
0.06,0.43,230.496
0.06,0.44,228.589
0.06,0.45,229.442
0.06,0.46,229.168
0.06,0.47,228.907
0.06,0.48,229.266
0.06,0.49,229.737
0.06,0.5,229.213
0.06,0.51,229.46
0.06,0.52,228.404
0.06,0.53,228.754
0.06,0.54,228.996
0.06,0.55,231.202
0.06,0.56,228.704
0.06,0.57,228.554
0.06,0.58,230.113
0.06,0.59,231.124
0.06,0.6,228.265
0.06,0.61,229.884
0.06,0.62,228.848
0.06,0.63,228.693
0.06,0.64,228.559
0.06,0.65,228.714
0.06,0.66,229.432
0.06,0.67,229.111
0.06,0.68,228.693
0.06,0.69,228.637
0.06,0.7,228.717
0.06,0.71,229.899
0.06,0.72,229.13
0.06,0.73,229.88
0.06,0.74,229.799
0.06,0.75,227.956
0.06,0.76,228.693
0.06,0.77,228.985
0.06,0.78,228.827
0.06,0.79,229.158
0.06,0.8,229.12
0.06,0.81,229.589
0.06,0.82,228.996
0.06,0.83,230.89
0.06,0.84,228.265
0.06,0.85,227.956
0.06,0.86,228.683
0.06,0.87,228.779
0.06,0.88,227.956
0.06,0.89,230.356
0.06,0.9,228.841
0.06,0.91,228.852
0.06,0.92,229.219
0.06,0.93,228.48
0.06,0.94,227.977
0.06,0.95,230.718
0.06,0.96,229.727
0.06,0.97,228.858
0.06,0.98,229.432
0.06,0.99,229.349
0.07,0,250.409
0.07,0.01,252.477
0.07,0.02,257.493
0.07,0.03,261.725
0.07,0.04,276.741
0.07,0.05,276.913
0.07,0.06,283.989
0.07,0.07,281.306
0.07,0.08,254.039
0.07,0.09,228.443
0.07,0.1,221.744
0.07,0.11,212.984
0.07,0.12,205.303
0.07,0.13,208.656
0.07,0.14,204.629
0.07,0.15,202.832
0.07,0.16,214.265
0.07,0.17,202.824
0.07,0.18,214.485
0.07,0.19,228.847
0.07,0.2,229.441
0.07,0.21,230.323
0.07,0.22,229.935
0.07,0.23,229.36
0.07,0.24,228.265
0.07,0.25,230.371
0.07,0.26,228.862
0.07,0.27,228.18
0.07,0.28,228.806
0.07,0.29,228.848
0.07,0.3,230.869
0.07,0.31,228.826
0.07,0.32,230.022
0.07,0.33,229.151
0.07,0.34,228.48
0.07,0.35,229.075
0.07,0.36,229.187
0.07,0.37,228.388
0.07,0.38,228.996
0.07,0.39,229.264
0.07,0.4,227.987
0.07,0.41,230.589
0.07,0.42,228.099
0.07,0.43,229.441
0.07,0.44,229.371
0.07,0.45,230.388
0.07,0.46,229.115
0.07,0.47,228.459
0.07,0.48,230.849
0.07,0.49,227.956
0.07,0.5,229.23
0.07,0.51,228.436
0.07,0.52,229.514
0.07,0.53,229.431
0.07,0.54,229.684
0.07,0.55,227.966
0.07,0.56,229.141
0.07,0.57,227.977
0.07,0.58,228.39
0.07,0.59,231.095
0.07,0.6,230.478
0.07,0.61,227.977
0.07,0.62,227.966
0.07,0.63,229.89
0.07,0.64,228.848
0.07,0.65,230.112
0.07,0.66,228.996
0.07,0.67,230.084
0.07,0.68,230.327
0.07,0.69,228.415
0.07,0.7,229.191
0.07,0.71,229.006
0.07,0.72,228.297
0.07,0.73,229.514
0.07,0.74,228.497
0.07,0.75,229.141
0.07,0.76,228.706
0.07,0.77,228.408
0.07,0.78,228.985
0.07,0.79,228.841
0.07,0.8,229.06
